 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"50","Lauren Forte","California","Fr.","6-3","MB","88","26","82","108","1.23"
"","Taylor Wood","La.-Monroe","Sr.","6-1","MB","88","17","91","108","1.23"
"52","Simone Miller","Ohio","Jr.","6-0","MB","84","14","89","103","1.23"
"53","Bridget Wallenberger","Miami (FL)","Fr.","6-2","MB","94","16","98","114","1.21"
"54","Grace Lazard","Iowa St.","Sr.","6-2","MB","104","14","112","126","1.21"
"55","Payton Richardson","South Dakota St.","Sr.","6-0","MB","93","21","91","112","1.20"
"56","Lana Brown","Sacramento St.","Sr.","6-0","MB","119","25","118","143","1.20"
"","Alyssa Munlyn","Missouri","Sr.","6-2","MB","119","27","116","143","1.20"
"58","Haile Watson","Fresno St.","Sr.","6-2","MB","130","24","132","156","1.20"
"59","Quin Sutphin","Kennesaw St.","So.","6-2","MB","106","25","102","127","1.20"
"60","Dayna Kern","Tulane","Sr.","6-3","MB","127","4","148","152","1.20"
"61","Nicole Ball","Idaho","Fr.","6-3","MB","123","12","135","147","1.20"
"62","Lauren Reichard","Ga. Southern","Sr.","6-0","MH","118","27","114","141","1.19"
"63","Phoebe Grace","Utah","Fr.","6-2","MB","98","10","107","117","1.19"
"64","Naya Gros","Michigan St.","Fr.","6-3","MB","120","19","124","143","1.19"
"65","Ronika Stone","Oregon","Jr.","6-2","MB","126","20","130","150","1.19"
"66","Kathryn Wesolich","UCF","Fr.","6-2","MB","116","3","135","138","1.19"
"67","Morgan Hughes","Boise St.","Sr.","5-10","MB","112","7","126","133","1.19"
"68","Claire Martin","Washington St.","Sr.","6-4","MB","130","15","139","154","1.18"
"69","Hannah DeYoung","Weber St.","Jr.","6-2","MB","103","6","116","122","1.18"
"70","Audriana Fitzmorris","Stanford","Jr.","6-6","OPP","120","5","137","142","1.18"
"71","Hannah Donaldson","Gardner-Webb","Fr.","6-3","MB","104","25","98","123","1.18"
"72","Kennedy Shelstead","Abilene Christian","Sr.","6-0","MB","83","7","91","98","1.18"
"73","Corinne Larsen","Utah St.","Fr.","6-3","MB","111","7","124","131","1.18"
"74","Zoe Hill","Kansas","Jr.","5-11","MB","106","12","113","125","1.18"
"75","Alex O'Sullivan","Saint Mary's (CA)","Sr.","5-10","MB","90","15","91","106","1.18"
"76","Taylor Cunningham","Sam Houston St.","Sr.","5-11","MB","108","11","116","127","1.18"
"77","Jayda Carlton","Xavier","Fr.","5-11","MB","91","20","87","107","1.18"
"78","Krysteena Davis","Oakland","Sr.","6-0","MH","104","8","114","122","1.17"
"79","Lauren Stivrins","Nebraska","So.","6-4","MB","133","22","134","156","1.17"
"80","Naomi Hickman","Creighton","So.","6-4","MB","93","7","102","109","1.17"
"81","Brooke Pehrson","Idaho St.","Jr.","6-3","MB","124","15","130","145","1.17"
"82","Katy Keenan","Texas Tech","Sr.","6-1","MB","107","14","111","125","1.17"
"83","Christina Cornelius","Harvard","Sr.","6-2","MB","90","24","81","105","1.17"
"84","Nerissa Moravec","UCF","So.","6-2","MB","117","12","124","136","1.16"
"85","Shelly Stafford","Baylor","Jr.","6-2","MB","118","7","130","137","1.16"
"86","Katie Barker","Portland","Jr.","6-1","MB","124","15","128","143","1.15"
"87","Tori Baldwin","VCU","Sr.","6-3","MB","105","13","108","121","1.15"
"","Emily Poole","Lehigh","Jr.","6-2","MB","105","51","70","121","1.15"
"89","Anna Stevenson","Auburn","So.","6-1","MB","79","18","73","91","1.15"
"90","Taelor Kellum","Florida","Sr.","6-2","MB","119","16","121","137","1.15"
"91","Avie Niece","Washington","Jr.","6-0","MB","120","14","124","138","1.15"
"92","Regan Pittman","Minnesota","So.","6-5","MB","106","25","96","121","1.14"
"93","Kainah Williams","Liberty","Jr.","6-2","MB","78","10","79","89","1.14"
"94","Mariah McPartland","ETSU","Sr.","6-2","MB","125","18","124","142","1.14"
"95","Jaeden Brown","South Fla.","So.","6-0","MB","129","21","125","146","1.13"
"96","Mackenzie Steckler","Western Ill.","So.","6-0","MH","92","15","89","104","1.13"
"97","Katharine Esterley","North Carolina","So.","6-2","MH","78","6","82","88","1.13"
"98","Jasmine Gross","Southern California","Jr.","6-3","MB","125","12","129","141","1.13"
"99","Katie Patrick","Navy","Sr.","6-2","MB","110","36","88","124","1.13"
"100","Kendall HAYWOOD","Houston","Fr.","6-1","MB","126","33","109","142","1.13"
"101","Lauren O'Brien","Utah St.","Sr.","6-1","MB","79","5","84","89","1.13"
"102","Ella Lajos","Washington St.","Sr.","6-3","MB","124","9","130","139","1.12"
"103","Gloria Ikenegbu","USC Upstate","Jr.","5-11","MB","92","29","74","103","1.12"
"104","Madilyn Mercer","Cal Poly","So.","6-4","MB","93","7","97","104","1.12"
"105","Katie Kidwell","Bowling Green","So.","6-0","MB","111","23","101","124","1.12"
"106","Lily Cooper","Duke","Fr.","6-5","MB","104","16","100","116","1.12"
"107","Rachel Stover","Cleveland St.","Sr.","6-2","OH","106","2","116","118","1.11"
"108","Brianna Kadiku","Oklahoma","Jr.","6-2","MB","107","11","108","119","1.11"
"","Maja Stojanovic","Seattle U","Sr.","6-2","MB","107","16","103","119","1.11"
"110","Peyton McCarthy","Valparaiso","So.","6-1","MH","117","19","111","130","1.11"
"","Jasmine Stackhouse","Rutgers","Jr.","6-3","MB","108","10","110","120","1.11"
"112","Candelaria Herrera","Iowa St.","So.","6-1","MB","100","8","103","111","1.11"
"113","Maclaine Fields","Harvard","Jr.","6-3","MB","73","15","66","81","1.11"
"114","Victoria Spragg","New Mexico","Sr.","6-5","MB","122","22","113","135","1.11"
"115","Madison Daigle","Texas St.","Sr.","6-1","MB","113","21","104","125","1.11"
"","Alana Walker","Northwestern","So.","6-3","MH","113","19","106","125","1.11"
"117","Trinniti Hall","Cleveland St.","Jr.","5-10","MH","114","20","106","126","1.11"
"","Danielle Price","Colorado","Fr.","6-4","MB","114","9","117","126","1.11"
"119","Anne-Marie Watson","UCF","So.","6-0","OH","115","9","118","127","1.10"
"120","Erica Treiber","Tennessee","Sr.","6-1","MH","125","15","123","138","1.10"
"121","Sharonda Pickering","FGCU","So.","6-2","MB","116","12","116","128","1.10"
"122","Lauren Bright","Lehigh","Jr.","5-11","MB","99","33","76","109","1.10"
"123","Jackie McBride","Wyoming","So.","6-1","MB","119","17","114","131","1.10"
"124","Morgan Johnson","Texas","Sr.","6-3","MB","101","6","105","111","1.10"
"125","Kennedi Evans","Utah","Fr.","6-2","MB","91","11","89","100","1.10"
"126","Megan Hart","New Mexico St.","Jr.","6-5","MB","123","13","122","135","1.10"
"127","Callie Cook","Tulsa","So.","6-2","MB","113","20","104","124","1.10"
"128","Taylor Morgan","Minnesota","Jr.","6-0","MB","103","5","108","113","1.10"
"129","Marjolijn Oskam","San Francisco","Sr.","6-4","MB","85","9","84","93","1.09"
"130","Devonne Ryter","Idaho","Sr.","6-0","MB","108","7","111","118","1.09"
"131","Alisah Cash","Loyola Maryland","Sr.","6-3","RS","88","15","81","96","1.09"
"","Peighton De Von","Gonzaga","Sr.","6-0","MB","88","11","85","96","1.09"
"","Francesca Meldrum","Dartmouth","Fr.","6-2","MB","66","10","62","72","1.09"
"134","Abby Akin","Northern Ariz.","Jr.","6-3","MB","125","19","117","136","1.09"
"135","Grace Morgan","Rice","Jr.","6-2","MB","115","15","110","125","1.09"
"","Mimi Richards","Bucknell","Jr.","6-1","MB","92","16","84","100","1.09"
"137","Alli O'Harra","Pepperdine","So.","6-3","MB","104","9","104","113","1.09"
"138","Anota Adekunle","Rice","Fr.","5-11","MB","106","24","91","115","1.08"
"139","Maddy Gravley","Oregon St.","Sr.","6-3","MB","119","14","115","129","1.08"
"140","Marisa Cerchio","Virginia Tech","So.","6-3","MB","108","17","100","117","1.08"
"","Deyshia Lofton","Indiana","Jr.","6-2","MB","120","26","104","130","1.08"
"","Brooke Wood","Northwestern St.","So.","6-2","MB","84","16","75","91","1.08"
"143","Madison Turner","Arkansas St.","Jr.","6-4","MB","121","39","92","131","1.08"
"144","Kirby Anderson","Texas Southern","Sr.","5-11","MB","86","10","83","93","1.08"
"145","Bri Greenlee","Oral Roberts","Jr.","6-1","RS","101","15","94","109","1.08"
"146","Kelsey Walter","Memphis","Sr.","6-0","MB","114","23","100","123","1.08"
"147","Jenna McGuire","Rhode Island","Jr.","6-0","MB","90","13","84","97","1.08"
"148","Anna Moss","UNCW","Sr.","6-0","MB","103","12","99","111","1.08"
"149","Blake Mohler","Purdue","Jr.","6-2","MB","130","20","120","140","1.08"
"150","Haley Hoffman","IUPUI","Jr.","6-2","MB","108","18","98","116","1.07"
"151","Katie Myers","Maryland","Fr.","6-2","MB","114","11","111","122","1.07"
"152","Perry Williams","Rider","Sr.","6-0","MH","115","31","92","123","1.07"
"153","Natasha Burns","Hawaii","Jr.","6-5","MH","87","15","78","93","1.07"
"154","Julianna Salanoa","New Mexico St.","So.","6-0","MB","104","5","106","111","1.07"
"","Sarah Varcolla","Youngstown St.","Sr.","6-0","MB","104","27","84","111","1.07"
"156","Molly Jarvis","Loyola Maryland","Jr.","6-1","MB","80","11","74","85","1.06"
"157","Emma Kirst","Long Beach St.","Sr.","-","OH","113","10","110","120","1.06"
"158","Madeleine Gates","UCLA","Jr.","6-3","MB","101","20","87","107","1.06"
"159","Lauren Sanders","Washington","So.","6-4","MB","103","13","96","109","1.06"
"160","Margaret Payne","Miami (OH)","Jr.","6-0","MH","124","17","114","131","1.06"
"161","Peyton Ehmke","George Mason","Fr.","6-1","MB","89","11","83","94","1.06"
"","Jada Stackhouse","Cornell","Jr.","5-11","MB","89","12","82","94","1.06"
"163","Damadj Johnson","Indiana St.","Jr.","6-0","MB","93","13","85","98","1.05"
"164","Liesl Engelbrecht","Kennesaw St.","Sr.","6-4","MB","115","19","102","121","1.05"
"165","Allison Bloss","Texas Tech","So.","6-2","MB","77","12","69","81","1.05"
"166","Kendyll Brown","Dayton","Sr.","6-1","MB","116","4","118","122","1.05"
"167","Tatyana Ndekwe","UIC","Jr.","5-10","MB","101","4","102","106","1.05"
"168","Jocelyn Stoner","Charlotte","Jr.","6-2","OH","124","42","88","130","1.05"
"169","Hanna Wagner","St. John's (NY)","Jr.","6-3","MB","127","13","120","133","1.05"
"170","Idara Akpakpa","UC Irvine","Sr.","6-0","MB","105","14","95","109","1.04"
"171","Tina Boe","Denver","So.","6-0","MB","110","5","109","114","1.04"
"172","Cidavia Hall","Alabama","Sr.","6-1","MB","116","21","99","120","1.03"
"173","Talita Oliveira","UTRGV","So.","6-3","MB","90","9","84","93","1.03"
"174","Emily Russell","USC Upstate","So.","6-0","MB","121","31","94","125","1.03"
"175","Ashlyn Fleming","Illinois","Jr.","6-4","MB","126","22","108","130","1.03"
"176","Symone Speech","Georgetown","Sr.","6-3","MB","102","25","80","105","1.03"
"177","Heather Kocken","Loyola Chicago","Jr.","6-1","RS","107","7","103","110","1.03"
"178","Devyn Cross","Arizona","Jr.","6-0","MB","108","16","95","111","1.03"
"179","Maggie Runge","Eastern Ill.","Jr.","6-1","MH","109","7","105","112","1.03"
"180","Josie Ough","UC Davis","---","6-6","-","74","10","66","76","1.03"
"181","Jacqueline Jacobs","Brown","Jr.","6-3","MB","75","10","67","77","1.03"
"182","Sydnee VanBeek","Ball St.","Jr.","6-2","MH","113","23","93","116","1.03"
"","Yizhi Xue","Long Beach St.","Jr.","6-4","MB","113","21","95","116","1.03"
"184","Mackenzie Fedota","Loyola Maryland","So.","6-1","MB","80","7","75","82","1.03"
"185","Alexis Coombs","Southern Miss.","Sr.","6-1","OH","124","31","96","127","1.02"
"186","Taylor Gail","James Madison","Sr.","5-11","MB","108","8","102","110","1.02"
"187","Alexandra Ecker","UTRGV","Sr.","5-10","MB","112","15","99","114","1.02"
"188","Ashley Sledge","Green Bay","So.","5-11","MB","113","9","106","115","1.02"
"189","Alannah Lemming","Wright St.","Sr.","6-3","MB","114","11","105","116","1.02"
"190","Kodie Comby","Georgia Tech","Jr.","6-1","MB","118","14","106","120","1.02"
"191","Michela Rucli","Hofstra","Sr.","6-1","MB","125","19","108","127","1.02"
"192","Sydney De Jong","Presbyterian","So.","6-1","MB","108","22","87","109","1.01"
"","Colleen Reilly","Wofford","Sr.","6-0","MB","108","10","99","109","1.01"
"194","Meryn Kennedy","SMU","So.","6-3","MB","110","15","96","111","1.01"
"","Emma Willis","Denver","Sr.","6-3","MB","110","6","105","111","1.01"
"196","Jordan Vail","North Dakota","Sr.","6-1","MH","120","29","92","121","1.01"
"197","Braedyn Tutton","ETSU","Sr.","6-0","MB","125","25","101","126","1.01"
"198","Alexis Davies","Utah Valley","Sr.","6-2","OH","138","6","133","139","1.01"
"199","Anna Blaschko","Omaha","So.","6-1","MH","112","26","86","112","1.00"
"","Jenna Bridges","Hartford","Jr.","6-2","MB","86","12","74","86","1.00"
"","Elsa Descamps","UNLV","Sr.","6-2","MB","130","21","109","130","1.00"
"","Summer Farris","Chicago St.","So.","6-2","MB","114","18","96","114","1.00"
"","Chelsea Hudson","FIU","Jr.","6-2","MB","111","17","94","111","1.00"
"","Hao Jin","Stetson","Sr.","6-2","MB","104","24","80","104","1.00"
"","Jenna Phelps","Cornell","Jr.","6-1","MB","86","6","80","86","1.00"
"","Natalie Ravenell","Butler","So.","5-11","OH","102","2","100","102","1.00"
"","Marissa Stockman","Illinois St.","Fr.","6-3","MB","114","8","106","114","1.00"
"","Tara Traphagan","Wyoming","Jr.","6-1","OH","116","5","111","116","1.00"
"","Whitney White","N.C. Central","Sr.","6-4","MB","88","20","68","88","1.00"
"210","Justine Walker","UT Martin","So.","6-2","MB","123","25","97","122","0.99"
"211","Olamide Sonuga","Towson","Sr.","5-10","MH","122","10","111","121","0.99"
"212","Tyanna Omazic","Missouri","So.","6-2","MB","118","26","91","117","0.99"
"213","Elle Van Grinsven","Loyola Chicago","So.","6-1","MB","108","9","98","107","0.99"
"214","Natalie Hardig","Northern Ky.","Fr.","6-1","MB","95","8","86","94","0.99"
"215","Whitney Foreman","LSU","Fr.","6-2","MB","93","18","74","92","0.99"
"216","Ava Bell","North Carolina","Fr.","6-2","MB","91","12","78","90","0.99"
"217","Merle Weidt","Rutgers","Fr.","6-1","OPP","82","5","76","81","0.99"
"218","Samantha Bray","Yale","Fr.","5-11","MB","70","7","62","69","0.99"
"219","Damjana Cabarkapa","Cincinnati","So.","6-3","MB","132","15","115","130","0.98"
"220","Jocelyn Urias","Washington St.","Jr.","6-3","MB","130","7","121","128","0.98"
"221","Jasmine Niutupuivaha","Utah Valley","Jr.","5-11","MB","127","4","121","125","0.98"
"222","Catherine Repsher","Southern Miss.","Jr.","6-1","OH","126","22","102","124","0.98"
"223","Doris Bogoje","Hofstra","Sr.","6-2","MB","120","11","107","118","0.98"
"224","Ali Witt","UIC","Sr.","6-0","MB","116","4","110","114","0.98"
"225","Jenna Rosenthal","Marquette","Sr.","6-6","MH","115","9","104","113","0.98"
"226","Rachel Henderson","Tennessee St.","Sr.","6-0","OPP","113","12","99","111","0.98"
"227","Kara Spicer","Appalachian St.","So.","6-2","MB","111","28","81","109","0.98"
"228","Brooke Morgan","Kentucky","Sr.","6-5","OPP","109","7","100","107","0.98"
"229","Madeline Davis","Louisiana Tech","Jr.","6-2","MB","106","21","83","104","0.98"
"230","Megan Gneiting","Weber St.","Jr.","6-0","OH","105","6","97","103","0.98"
"231","Molly Livingston","High Point","Sr.","6-2","MB","101","19","80","99","0.98"
"232","Rebecka  Poljan","Michigan St.","Fr.","6-2","MB","100","13","85","98","0.98"
"233","Bella Lien","North Dakota St.","So.","6-2","MH","99","18","79","97","0.98"
"234","Taylor Cooper","Penn","Sr.","6-0","MH","85","8","75","83","0.98"
"235","Brie Gathright","Sacramento St.","Sr.","5-11","MB","118","15","100","115","0.97"
"236","Kristina Nieves","Buffalo","Jr.","6-3","MB","113","21","89","110","0.97"
"237","Kelsie White","Montana St.","So.","6-4","MB","111","13","95","108","0.97"
"238","Taryn Griffey","North Florida","Jr.","6-1","MB","108","16","89","105","0.97"
"239","Julia Adler","VCU","Sr.","6-0","OH","105","1","101","102","0.97"
"240","Catherine Griffith","La.-Monroe","Sr.","6-3","MB","103","28","72","100","0.97"
"","Paola Rojas","UMBC","Sr.","6-1","MB","103","13","87","100","0.97"
"242","Cassie Haut","Eastern Mich.","Jr.","6-2","RS","122","25","93","118","0.97"
"243","Sydney Boerst","Purdue Fort Wayne","So.","6-0","MH","120","20","96","116","0.97"
"","Emma Dyer","UMKC","Sr.","6-1","MH","120","17","99","116","0.97"
"245","Rachel Anderson","Western Ky.","Sr.","6-1","MH","117","37","76","113","0.97"
"246","Wies Hurkmans","St. Francis Brooklyn","Jr.","6-1","MB","87","10","74","84","0.97"
"247","Teddie Sauer","Wright St.","So.","6-0","MB","108","10","94","104","0.96"
"248","Brianna Schmid","Stetson","Sr.","6-1","MB","107","19","84","103","0.96"
"249","Olivia Saunders","Wake Forest","So.","6-2","MB","100","17","79","96","0.96"
"250","Aybuke Kocabiyik","Florida A&M","So.","6-2","MB","99","20","75","95","0.96"
"251","Makenzee Hanna","SFA","Sr.","6-0","OH","119","7","107","114","0.96"
"252","Brooke Boiseau","CSU Bakersfield","Fr.","6-1","MB","115","2","108","110","0.96"
"253","Bre Walp","UT Arlington","Fr.","6-2","MB","90","9","77","86","0.96"
"254","Emily Halverson","North Dakota St.","So.","6-3","MH","111","21","85","106","0.95"
"","Sarah Martin","James Madison","Jr.","6-1","S","111","6","100","106","0.95"
"256","Isabella Sade","Omaha","So.","6-2","MB","110","10","95","105","0.95"
"257","Lexi Nordmann","SMU","So.","6-1","MB","109","7","97","104","0.95"
"258","Olivia LaPorta","Fordham","Sr.","6-0","MH","87","6","77","83","0.95"
"259","Madison Peters","UNCW","Jr.","6-2","RS","86","4","78","82","0.95"
"260","Lindsey Schell","Oregon St.","Fr.","6-2","MB","103","12","86","98","0.95"
"","Gina Tuzzolo","VCU","Jr.","6-2","OPP","103","3","95","98","0.95"
"262","Emmy Barnhorst","Army West Point","Fr.","6-3","MB","119","23","90","113","0.95"
"","Kayla Davenport","Houston Baptist","Sr.","6-2","MB","119","14","99","113","0.95"
"264","Rainelle  Jones","Maryland","Fr.","6-3","MB","114","16","92","108","0.95"
"","Allison Lippert","McNeese","So.","6-1","MB","114","6","102","108","0.95"
"266","Tionna Williams","Wisconsin","Sr.","6-2","MB","113","7","100","107","0.95"
"267","Maggie Adams","Southeast Mo. St.","So.","6-2","MB","111","13","92","105","0.95"
"268","Emma Granger","Robert Morris","So.","6-4","MB","109","17","86","103","0.94"
"269","Kristina Jordan","West Virginia","Fr.","6-4","MB","107","8","93","101","0.94"
"","Katy Wilson","Portland St.","Sr.","5-10","MB","107","11","90","101","0.94"
"271","Morgan Goodwin","N.C. Central","Fr.","6-0","MB","89","16","68","84","0.94"
"272","Hope Everett","SIUE","Fr.","6-3","MB","88","15","68","83","0.94"
"273","Silvia Grassini","Towson","Jr.","5-10","MB","123","5","111","116","0.94"
"274","Kalysia Bates","Morgan St.","So.","6-1","MH","99","19","74","93","0.94"
"275","Gintare Mackeviciute","UT Martin","Jr.","6-3","MB","98","23","69","92","0.94"
"276","Caitlyn Michalski","Charleston So.","Jr.","5-10","MB","95","11","78","89","0.94"
"277","Courtney O'Connell","Albany (NY)","Jr.","5-11","MB","94","7","81","88","0.94"
"278","Elle Sandbothe","Kansas St.","Jr.","6-0","MB","77","5","67","72","0.94"
"279","Lyndie Haddock-Eppich","BYU","Sr.","5-10","S","107","2","98","100","0.93"
"280","Mariessa Carrasco","New Mexico","Sr.","6-0","MB","121","15","98","113","0.93"
"281","Alysha Mitchell","Campbell","So.","6-0","MB","75","8","62","70","0.93"
"282","Gabby Simpson","Kansas","Sr.","6-3","S","104","4","93","97","0.93"
"283","Jaelah Hutchison","Colgate","Sr.","6-1","MB","101","21","73","94","0.93"
"284","Abby Kott","Dartmouth","Jr.","6-2","MB","72","4","63","67","0.93"
"285","Audrey Adams","Xavier","So.","6-2","MB","100","8","85","93","0.93"
"","Ava Pritchard","Clemson","Fr.","6-0","MB","100","8","85","93","0.93"
"287","Chinaza Ndee","Pittsburgh","So.","5-11","MH","114","5","101","106","0.93"
"288","Cori Crocker","Michigan","Jr.","6-3","MB","85","6","73","79","0.93"
"289","Emily Rudolph","UAB","Sr.","6-0","MB","99","9","83","92","0.93"
"290","Stephanie Stone","Marist","Jr.","6-0","MB","84","11","67","78","0.93"
"291","Megan Patillo","Houston Baptist","So.","6-1","MB","125","13","103","116","0.93"
"292","Kaylee Frear","Jacksonville St.","Jr.","6-3","OH","124","35","80","115","0.93"
"293","Cameron Maris","Niagara","Jr.","6-1","MB","95","11","77","88","0.93"
"294","Madeline Williams","Indiana St.","Fr.","6-0","MB","81","3","72","75","0.93"
"295","Tyran Chenault","Savannah St.","So.","5-10","MB","80","19","55","74","0.93"
"296","Brittni Dorsey","Northern Ariz.","Sr.","5-11","MB","132","17","105","122","0.92"
